Track,SDR Drums,SIR Drums,SAR Drums,SDR Bass,SIR Bass,SAR Bass,SDR Other,SIR Other,SAR Other,SDR Vocals,SIR Vocals,SAR Vocals
Music Delta - Grunge,13.643432835138025,25.17779890688303,13.972871040824975,0.05659099120266192,4.766271267190489,3.0992229736120294,5.123339533102339,9.197488698223452,7.773118025420072,6.683548032775642,16.210751196127482,7.2996782665767395
Music Delta - Hendrix,13.277090987693835,23.869036645553678,13.691392833230672,11.093353084799592,22.77576062467585,11.421506853370571,2.694030627706463,6.130965789095528,6.263132914880497,9.825498491728812,18.757559015120005,10.477154406601672
Music Delta - Punk,9.637057492256915,18.86193278776554,10.246036816920757,9.101372908533977,18.66806928188154,9.66849339318087,3.562743904871264,7.546060223998987,6.482517861293405,11.740143827063193,21.134036170258007,12.303918624520797
Music Delta - Reggae,10.701594646322278,25.43168911502461,10.862668376994797,10.546757479620464,23.700646333479988,10.780578003726047,-4.59584627988071,-0.41193701777416414,0.7126139781057002,13.088364916378548,22.674196595084915,13.617893517971938
Music Delta - Rock,8.989018119403472,19.457939543130923,9.446408601902064,10.503661447722585,18.94768607562481,11.229276560046564,4.853939385142801,9.84764654018051,6.9357362074364906,10.010996861173973,19.53507553089203,10.572890428418251
Music Delta - Rockabilly,11.475826449449318,24.278574509252607,11.725978924271146,4.7214953402651325,8.66058786193481,7.521329022013731,4.133488323949004,9.461515779237386,6.106394988806408,9.780598908178392,21.292980359916296,10.13066732633945
Night Panther - Fire,4.681683686816584,14.94554473870448,5.247795636603639,5.485448041208381,9.727375804451668,7.976768948097925,5.162663306761215,8.94650103369042,8.03758062038228,7.091021619022625,12.135075945124498,8.9795062103733
North To Alaska - All The Same,4.53473977537892,10.364412507073183,6.231715027856659,2.79919787649182,5.336471229985619,7.455234620117171,8.175956280198758,12.69458504553098,10.296351180752346,6.0322087520509164,11.541243664162156,7.7607926455377285
Patrick Talbot - A Reason To Leave,10.246419568901445,19.838542956308572,10.796614460534597,6.944085903802662,13.106707204539754,8.354496818534551,6.601833415371354,10.672324186736422,9.117568369733295,7.9027857393346,16.888818014904558,8.577155378850707
Patrick Talbot - Set Me Free,7.000841055191886,19.409348819357646,7.307184848551423,3.2503704131041418,6.740679793492134,6.662793885005607,7.556316463965405,13.668129115321397,8.958447500065141,3.329578741920882,6.9296711793089925,6.622565025948315
Phre The Eon - Everybody's Falling Apart,7.102643612332004,20.446585646004763,7.347547635027517,0.7815165914721465,2.8616569564285594,6.788096680835211,6.167676908207546,11.361563336106208,8.0380921179103,0.5785522803657424,3.2296727519813007,5.669450136381979
Port St Willow - Stay Even,5.4847190713540295,16.77653816694143,5.910162357553372,-1.063042389687708,0.5859041753162717,6.668373433408607,8.450121839881318,14.00901722167755,10.03420070477382,1.6989347997205473,6.429271088758991,4.370815109447534
Remember December - C U Next Time,6.443671814897854,12.279328778168274,8.006135828877811,7.19466754992864,13.238391556771434,8.637673001716795,5.068173982128085,8.255025363485913,8.513722697150852,5.787692389962228,10.844698356368152,7.756040518061048
Secret Mountains - High Horse,2.0883092255260474,10.293902563852868,3.18807316364719,10.31077386252412,15.345230517929211,12.070840365132076,8.861469056635842,13.352126004978107,10.965973679077353,0.5021761057318351,3.708253194718057,4.865638656284431
Skelpolu - Human Mistakes,1.5071153178609145,5.443611853261156,4.845235905104251,9.016542493885973,13.128156415317529,11.355424577364488,5.753039678600804,9.81848859292484,8.345838938876133,3.799025102941058,8.39972702223015,6.234130297437331
Skelpolu - Together Alone,8.867626693346903,15.860142951354641,9.947246658826849,7.44985351273863,12.346238200461311,9.395434352654746,5.859668845036748,10.427710798741208,8.102584423035262,5.683702886398528,10.408700767509595,7.8462298930342484
Snowmine - Curfews,-2.249195717471158,0.4774439479325895,3.8427290220354635,11.90504375701683,21.144692867278106,12.489183063626195,6.567222371347823,10.098009819614502,9.51789700419998,2.0595891264418813,5.510205358889464,5.746224673924127
Spike Mullings - Mike's Sulking,4.151579966660145,15.067418683734843,4.651522221259209,4.7309050366788785,8.40982357870873,7.747008117705008,6.494972747673311,10.798664968224621,8.85707606322972,2.1741830189561773,5.440527882589114,6.034175422545492
St Vitus - Word Gets Around,1.3452575001616027,11.60476534189155,2.0651453956335653,2.3567679076842643,5.486771729254275,6.3318191823946135,-0.9425842492055554,1.9563345586118173,4.323399885355715,5.508874785082403,11.04227161065939,7.2624756387751415
Steven Clark - Bounty,0.7810604649202691,5.8865543977314285,3.3802535540296152,9.10645775263583,14.738245282917362,10.63706114184303,6.723446994145611,10.180192252448503,9.726798781630473,2.1880312348657234,5.915742714644351,5.573073254326055
Strand Of Oaks - Spacestation,5.697286726136048,17.985311007754746,6.030128056927442,-1.304590365632484,0.7557544087105632,5.572216563801469,6.015559561815782,10.089678247924677,8.57788017313492,3.0671583963330966,6.183349056246563,6.9111226803250405
Sweet Lights - You Let Me Down,4.535839980237685,14.494858206844704,5.1495902606422606,4.44183221487121,7.852112030259596,7.745355458120921,5.367372834210535,8.109592612189054,9.287485097779298,3.20288494591902,6.531284678430131,6.788457314619453
Swinging Steaks - Lost My Way,-2.164301069584099,1.4220389420869914,2.694719143174395,6.363716255951758,9.9799044581206,9.258157417103403,5.671511595476961,9.686695031049029,8.309667957821445,2.5436040305389334,6.87640361136686,5.352421738002734
The Districts - Vermont,-1.7290823803186903,2.719511378446826,2.062617003320168,-2.5075148651322463,-1.361012819487121,7.581131819872845,9.473729881648826,13.26618481482903,12.021517185257578,5.918676027628923,13.224712170756995,7.014085065584432
